"model","framework","seconds"
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.0370000000000061
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00699999999999079
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.0100000000000051
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.00799999999999557
"Occupancy","unmarked",0.00699999999999079
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.00699999999999079
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.00599999999998602
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00799999999999557
"Occupancy","unmarked",0.00799999999999557
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.00799999999999557
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00799999999999557
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.00799999999999557
"Occupancy","unmarked",0.00699999999999079
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.019999999999996
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.00800000000000978
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00699999999997658
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00699999999997658
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.007000000000005
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00999999999999091
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00499999999999545
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.00600000000000023
"Occupancy","unmarked",0.007000000000005
"Occupancy","JAGS",1.776
"Occupancy","JAGS",0.989000000000001
"Occupancy","JAGS",0.954
"Occupancy","JAGS",1.383
"Occupancy","JAGS",0.976000000000001
"Occupancy","JAGS",0.988
"Occupancy","JAGS",0.984
"Occupancy","JAGS",0.994999999999999
"Occupancy","JAGS",1.016
"Occupancy","JAGS",0.957999999999998
"Occupancy","JAGS",0.994999999999997
"Occupancy","JAGS",0.962
"Occupancy","JAGS",1.021
"Occupancy","JAGS",0.965
"Occupancy","JAGS",0.98
"Occupancy","JAGS",1.022
"Occupancy","JAGS",1.066
"Occupancy","JAGS",1.028
"Occupancy","JAGS",0.969000000000001
"Occupancy","JAGS",0.975999999999999
"Occupancy","JAGS",0.954000000000001
"Occupancy","JAGS",0.960000000000001
"Occupancy","JAGS",0.959000000000003
"Occupancy","JAGS",0.973000000000006
"Occupancy","JAGS",0.951999999999998
"Occupancy","JAGS",0.975000000000001
"Occupancy","JAGS",0.975999999999999
"Occupancy","JAGS",0.955000000000005
"Occupancy","JAGS",0.983999999999995
"Occupancy","JAGS",0.970999999999997
"Occupancy","JAGS",0.990000000000002
"Occupancy","JAGS",1.014
"Occupancy","JAGS",0.976999999999997
"Occupancy","JAGS",1.03100000000001
"Occupancy","JAGS",1.001
"Occupancy","JAGS",0.957999999999998
"Occupancy","JAGS",0.935000000000002
"Occupancy","JAGS",0.974000000000004
"Occupancy","JAGS",0.920000000000002
"Occupancy","JAGS",0.956000000000003
"Occupancy","JAGS",0.957000000000008
"Occupancy","JAGS",0.972999999999999
"Occupancy","JAGS",0.933999999999997
"Occupancy","JAGS",0.938000000000002
"Occupancy","JAGS",0.968000000000004
"Occupancy","JAGS",0.986000000000004
"Occupancy","JAGS",0.962999999999994
